index,title,link,duration,published
90,"LEITZAKO MELODIAK ORGANOAN. SAN TIBURTZIO 2021",4czpTuD69S0,"2m 6s","11/08/2021"
91,"AINGERUAK MARIARI DIO GRAZIZ BETEA",VCxIxn6aUcg,"1m 40s","28/10/2023"
92,"HAU DA EGUNA, JAUNARENA",9ybQuVuWKEk,"2m 20s","22/04/2024"
93,"MENDIALDETIK DATOZ ARTZAIAK (KANTA ALLELUIA)",E2CYyWVIAqM,"1m 33s","27/12/2021"
94,"AGUR HOSTI LEUN TA GARBI",0_QLMWltiiI,"2m ","17/02/2022"
95,"ZU ZERA GURE POZA",sdD6WOExRHQ,"1m 41s","15/09/2024"
96,"NERE AMA TXIT LAZTANA II (BESTE DOINU BATEKIN)",ESJXWBS38DM,"1m 24s","02/01/2024"
97,"OI BETHLEEM",ig8N9dsYifk,"1m 57s","25/12/2023"
98,"SANCTUS EUSKERAZ X (HOSANNA HOSANNA ZERU GOIENETAN)",aZ1LnHsshSQ,"1m 56s","13/10/2024"
99,"JAUNGOIKOA NAHI DUGU DENOK LARRAUNGO HERRI HONTAN",XVXYrHfGvJk,"2m 19s","09/10/2022"
100,"AFALONDOAN XUTITU ZEN JESUS",AXGrIGLkmZA,"2m 33s","14/04/2022"
101,"KYRIE (BATTMANN) . 2023 ko EGUBERRI EGUNEKO MEZETAN. LEITZA",USNxsy8X29Y,"3m 6s","25/12/2022"
102,"GLORIA (BATTMANN) EGUBERRI EGUNA 2024",r46GDOdzcgA,"5m 18s","25/12/2024"
103,"JAUN ONA MUNDUA SALBATZERA ETORRI GUGANA ZERUTIK",chhEfDipu84,"2m 32s","22/12/2024"
104,"BIHOTZ GARBIA GUGAN SORTU",gvkEe915MYg,"2m 43s","23/12/2021"
105,"KRISTO JAUNA PIZTU DA",E_WNawdc8bk,"1m 32s","31/03/2024"
106,"AINTZA AITARI, AINTZA BIZI DEN SEMEARI, AINTZA ESPIRITU SANTUARI",PWUCrPec9nI,"2m 20s","04/06/2023"
107,"JAUNA ZUGANA GATOZ",0H7GXR1AnQI,"56s","26/03/2023"
108,"GLORIA PASTORELA. ERREGE EGUNEKO MEZA NAGUSIAN. LEITZA",9OCFqh09mw8,"6m 23s","06/01/2023"
109,"SANCTUS EUSKERAZ IX (SANTU SANTUA)",4bJPZI-Vj44,"1m 35s","29/09/2024"
110,"ZURE HITZA ENTZUTERA",TzR_kVWAfGo,"58s","02/08/2024"
111,"ALLELUIA/AINTZA JAUNA",Q4Wm9DggDgM,"57s","28/05/2023"
112,"IZAN ZAITEZ BETI",VaTilY3v33k,"2m 7s","24/11/2024"
113,"ELURRA MARA-MARA",0KSz7thyDv8,"3m 6s","12/01/2025"
